episode,timestep,reward
27,800,27.963
59,1600,25.625
82,2400,34.6957
108,3200,30.8462
127,4000,42.4737
145,4800,39.2222
158,5600,67.7692
166,6400,94.0
173,7200,114.4286
181,8000,109.5
188,8800,100.4286
197,9600,94.1111
201,10400,209.75
206,11200,157.2
209,12000,203.3333
213,12800,240.5
215,13600,247.0
220,14400,220.4
224,15200,196.5
228,16000,197.75
232,16800,193.75
237,17600,180.0
240,18400,228.6667
244,19200,219.25
246,20000,317.0
249,20800,302.3333
252,21600,258.3333
257,22400,181.6
259,23200,400.0
261,24000,259.5
264,24800,310.0
267,25600,258.6667
272,26400,160.0
275,27200,331.0
277,28000,384.0
279,28800,358.0
281,29600,358.0
284,30400,296.3333
286,31200,291.5
288,32000,400.0
290,32800,395.0
292,33600,400.0
295,34400,343.6667
298,35200,218.0
301,36000,310.6667
304,36800,242.6667
306,37600,400.0
309,38400,285.6667
311,39200,400.0
313,40000,299.0
315,40800,400.0
317,41600,394.5
319,42400,400.0
322,43200,287.6667
324,44000,400.0
326,44800,400.0
328,45600,400.0
330,46400,400.0
333,47200,361.0
335,48000,378.0
337,48800,400.0
339,49600,400.0
341,50400,385.0
343,51200,374.5
345,52000,400.0
347,52800,400.0
349,53600,356.0
351,54400,389.5
353,55200,400.0
355,56000,400.0
357,56800,400.0
359,57600,370.5
361,58400,400.0
363,59200,379.0
366,60000,300.6667
369,60800,303.3333
371,61600,334.0
374,62400,330.3333
376,63200,400.0
378,64000,320.5
381,64800,327.6667
383,65600,352.0
385,66400,385.0
387,67200,361.5
389,68000,357.0
391,68800,377.0
393,69600,400.0
395,70400,397.5
397,71200,400.0
399,72000,400.0
401,72800,396.0
404,73600,389.0
406,74400,400.0
408,75200,400.0
410,76000,400.0
412,76800,400.0
414,77600,400.0
416,78400,400.0
418,79200,400.0
420,80000,400.0
422,80800,400.0
424,81600,400.0
426,82400,400.0
428,83200,400.0
430,84000,400.0
432,84800,400.0
434,85600,400.0
436,86400,400.0
438,87200,380.0
440,88000,394.0
442,88800,399.5
444,89600,400.0
446,90400,387.0
448,91200,351.5
451,92000,326.6667
453,92800,364.0
455,93600,350.5
457,94400,367.5
459,95200,383.5
461,96000,397.5
463,96800,400.0
465,97600,400.0
467,98400,400.0
469,99200,389.0
471,100000,400.0
