episode,timestep,reward
33,800,24.0606
70,1600,21.4054
102,2400,24.9062
132,3200,27.1667
158,4000,30.1923
177,4800,37.2632
193,5600,56.0625
211,6400,43.5556
218,7200,111.0
231,8000,60.8462
237,8800,133.1667
246,9600,92.2222
251,10400,139.6
256,11200,183.6
259,12000,259.6667
262,12800,190.0
268,13600,165.6667
273,14400,154.8
276,15200,219.0
281,16000,179.2
286,16800,153.8
291,17600,190.0
295,18400,196.5
299,19200,153.25
303,20000,256.25
306,20800,214.6667
309,21600,238.3333
314,22400,187.8
317,23200,277.3333
320,24000,270.3333
322,24800,400.0
324,25600,275.5
