episode,timestep,reward
38,800,20.8684
74,1600,22.2222
98,2400,33.5833
131,3200,22.9091
151,4000,38.85
172,4800,41.0476
184,5600,60.3333
197,6400,65.0769
205,7200,94.5
213,8000,102.625
218,8800,166.8
224,9600,125.5
229,10400,135.8
236,11200,140.1429
240,12000,162.25
243,12800,265.6667
